Gene_ID	Level	logFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	F_T1_Rep1	F_T1_Rep2	F_T1_Rep3	F_T1_Rep4	F_T2_Rep1	F_T2_Rep2	F_T2_Rep3	F_T2_Rep4
gene_1173	1.86355266296656	-2.24095701013945	805	C6 zinc finger fungal transcription factor	Grosmannia clavigera	Ophiostoma piceae			c6 transcription factor	9	P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus; F:DNA binding; F:metal ion binding; P:transcription, DNA-dependent		N	0	0	0	0	0	8	0	0
gene_1253	1.53916733954889	-2.02798017164253	599	Vanillyl-alcohol oxidase	Thielavia terrestris	Sporothrix schenckii			aryl-alcohol oxidase vanillyl-alcohol oxidase	3	F:flavin adenine dinucleotide binding; P:oxidation-reduction process; F:UDP-N-acetylmuramate dehydrogenase activity	EC:1.1.1.158	N	0	0	0	0	0	4	4	0
gene_1359	1.89531548689709	-2.26021568577632	109	Transcription initiation factor IIA subunit 2	Grosmannia clavigera	Ophiostoma piceae	K03123	TFIIA2, GTF2A2, TOA2; transcription initiation factor TFIIA small subunit	transcription initiation factor iia gamma chain	5	F:translation initiation factor activity; P:translational initiation; P:transcription initiation from RNA polymerase II promoter; P:regulation of transcription, DNA-dependent; C:transcription factor TFIIA complex	-	N	0	0	0	0	6	0	0	0
gene_138	3.93723638280465	-2.67003696592734	70	Putative uncharacterized protein	 				---NA---	0	-		Y	0	0	0	4	0	9	11	0
gene_1410	5.05385543830323	-2.79895781892147	355	Putative uncharacterized protein	Thielavia terrestris	Ophiostoma piceae			cell surface	0	-		N	0	4	0	2	6	10	0	8
gene_1479	9.76734441504325	-2.52017830878748	382	TfdA family Taurine catabolism dioxygenase TauD	Togninia minima	Ophiostoma piceae			family taurine catabolism dioxygenase	2	P:oxidation-reduction process; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	EC:1.13.11.0	N	10	2	0	8	0	32	8	0
gene_1546	2.31804884642178	-2.21595271749559	1 980	Guanyl-nucleotide exchange factor	Grosmannia clavigera	Ophiostoma piceae			guanyl-nucleotide exchange factor	3	P:regulation of ARF protein signal transduction; C:intracellular; F:ARF guanyl-nucleotide exchange factor activity	-	N	0	2	0	0	0	4	2	14
gene_1631	3.3464243425849	-2.68418022395177	269	Superoxide dismutase copper chaperone	Trichoderma reesei	Ophiostoma piceae	K04569	CCS; copper chaperone for superoxide dismutase		6	F:metal ion binding; P:oxidation-reduction process; F:copper ion binding; P:superoxide metabolic process; F:superoxide dismutase copper chaperone activity; P:metal ion transport		N	0	0	0	2	0	14	0	0
gene_1642	2.36573435420151	-2.00733159373324	792	Probable sucrose utilization protein SUC1	Grosmannia clavigera	Ophiostoma piceae			c6 zinc finger domain containing protein	5	F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription from RNA polymerase II promoter; F:DNA binding; C:nucleus; F:zinc ion binding	-	N	0	0	0	4	4	4	0	0
gene_1822	1.8428628435817	-2.22827249808649	273	Uncharacterized oxidoreductase	Fusarium oxysporum	Ophiostoma piceae	K14189	dltE; uncharacterized oxidoreductase [EC:1.-.-.-]	nad -binding protein	1	P:mycelium development	-	N	0	0	0	0	0	4	6	0
gene_1901	2.67560723120701	-2.15779785815961	813	Tubulin-tyrosine ligase family protein	Grosmannia clavigera	Ophiostoma piceae			ttl domain-containing protein	2	P:pathogenesis; F:catalytic activity	-	N	0	2	0	2	6	0	4	0
gene_1966	5.47180173508664	-2.18754540710158	558	Amino acid permease	Grosmannia clavigera	Ophiostoma piceae	K16261	YAT; yeast amino acid transporter	amino acid permease	3	C:integral to membrane; F:amino acid transmembrane transporter activity; P:amino acid transmembrane transport	-	N	6	6	0	0	0	0	12	42
gene_2128	1.82217302419684	-2.21547547084729	1 012	Nitrogen assimilation transcription factor nit-4	Podospora anserina	Ophiostoma piceae			nitrogen assimilation transcription factor nit-4	6	F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription from RNA polymerase II promoter; F:DNA binding; P:nitrate assimilation; C:nucleus; F:zinc ion binding	-	N	0	0	0	0	0	0	12	0
