subject_id	Gene_ID	explevel_log	logFC	Protein_ID	transcript_ID
Potri.010G136900.1	WUAT02016110.1	7.086525749	2.574580126	225793	225793
Potri.015G033600.1	WUAT02015182.1	5.333242133	4.238247514	265842	265842
Potri.004G054400.2	WUAT02018124.1	2.872113899	2.264695391	277936	277936
Potri.003G125400.1	WUAT02015395.1	11.10461991	2.264591616	413486	424187
Potri.003G142100.1	WUAT02007179.1	11.01704154	2.25024426	414037	424738
Potri.008G177900.3	WUAT02013014.1	0.708932878	2.340175922	420355	431056
Potri.012G108000.1	WUAT02021224.1	2.157682578	2.706926134	423284	433985
Potri.001G052300.1	WUAT02018897.1	11.4525586	2.601509634	547984	547984
Potri.001G375600.1	WUAT02000182.1	3.995150053	2.84745578	550287	550287
Potri.002G018000.1	WUAT02019294.1	10.21525349	2.164354553	550845	550845
Potri.002G103800.1	WUAT02007253.1	4.201648198	2.637844115	551637	551637
Potri.003G018700.1	WUAT02013613.1	7.113831921	2.222064986	553421	553421
Potri.003G024100.1	WUAT02017337.1	5.759431955	2.573385224	553487	553487
Potri.005G087100.1	WUAT02013324.1	2.093329033	2.396394074	558645	558645
Potri.006G047200.1	WUAT02009413.1	9.116268161	2.247683371	560466	560466
Potri.007G081200.1	WUAT02007742.1	6.891414602	2.011201427	562708	562708
Potri.007G016100.2	WUAT02007175.1	8.63329774	2.218861737	563247	563247
Potri.010G052500.1	WUAT02021878.1	3.227927383	3.654067224	565949	565949
Potri.010G052500.1	WUAT02021904.1	8.0912283	2.38949398	565949	565949
Potri.013G029300.2	WUAT02015973.1	3.309583935	3.149269875	570914	570914
Potri.001G222700.1	WUAT02001490.1	4.937524352	2.019955153	583397	583397
Potri.003G189100.1	WUAT02018959.1	10.18015669	2.769480283	593556	593556
Potri.009G132100.1	WUAT02022099.1	8.706336223	2.093882449	649249	649249
Potri.007G020100.1	WUAT02001610.1	0.988858195	2.672725554	655357	655357
Potri.001G289500.1	WUAT02019580.1	10.92271636	2.201618365	707456	707456
Potri.003G159700.3	WUAT02019397.1	10.22741916	2.371035659	712150	712150
Potri.003G102900.3	WUAT02002334.1	3.019149243	2.230532295	712584	712584
Potri.019G092300.1	WUAT02004464.1	8.710801213	2.593958843	738919	738919
Potri.004G086100.1	WUAT02002755.1	10.77237308	2.170092369	759085	759085
Potri.012G105500.1	WUAT02001530.1	5.537635627	2.238342986	773254	773254
Potri.015G128100.1	WUAT02022777.1	8.127240501	4.311226433	776563	776563
Potri.006G005900.1	WUAT02021581.1	1.346429479	2.496700185	801678	801678
Potri.002G008800.1	WUAT02008267.1	6.867034122	2.044411825	815956	815956
Potri.003G159500.1	WUAT02006813.1	1.458547181	3.262946727	817491	817491
Potri.009G038200.2	WUAT02020292.1	8.718069401	2.155251533	821525	821525
Potri.010G027100.2	WUAT02012294.1	2.656518631	2.170648202	821757	821757
Potri.014G179700.1	WUAT02007302.1	1.432906585	2.136157704	824422	824422
Potri.015G069200.2	WUAT02013950.1	9.880576476	2.708275685	824634	824634
Potri.017G083000.1	WUAT02009087.1	9.647329424	2.039492542	825556	825556
Potri.005G210100.1	WUAT02018025.1	8.740256888	2.258683655	831588	831588
Potri.008G174500.1	WUAT02015713.1	6.907665571	2.173133377	832849	832849
Potri.009G011000.8	WUAT02005179.1	9.373380794	2.320029304	833327	833327
