Gene_ID	explevel_log	logFC	subject_id
WUAT02000938.1	6.31667536277373	2.21144305176925	Potri.013G138201.1
WUAT02001418.1	10.4224969612526	2.7227382543434	Potri.014G153000.1
WUAT02003301.1	2.55956359186258	2.46455157315775	Potri.014G193500.10
WUAT02003377.1	9.60436581979414	2.98433174241322	Potri.015G093400.1
WUAT02003459.1	3.01125278787408	4.77124401467339	Potri.010G129800.6
WUAT02004227.1	7.00096501350843	3.89854599999781	Potri.001G197500.2
WUAT02004297.1	3.30543462118094	4.22987775451725	Potri.001G182300.2
WUAT02004311.1	1.19106951412734	2.2873235961879	Potri.013G133550.2
WUAT02004821.1	8.12270854655369	2.72789428146855	Potri.009G134500.1
WUAT02004927.1	5.61352805858825	2.24132385950019	Potri.001G251100.2
WUAT02005335.1	8.51995580428776	2.07756763100437	Potri.010G245100.5
WUAT02005866.1	2.37159645210942	2.3836353933812	Potri.010G038700.15
WUAT02006818.1	6.2528552231109	3.37140542513697	Potri.005G247600.1
WUAT02007398.1	4.22389501458699	4.53168772593156	Potri.013G138000.1
WUAT02007590.1	4.84598909145011	2.72599329764395	Potri.010G142800.1
WUAT02007848.1	0.409255742159676	2.00410348891569	Potri.014G014700.4
WUAT02008162.1	2.57506101516722	2.16825701151191	Potri.013G143400.2
WUAT02008285.1	8.2727588426667	3.13041683491417	Potri.019G079200.3
WUAT02008291.1	4.12619111983476	2.03991413370207	Potri.014G185804.1
WUAT02008612.1	2.97606993048499	3.9931098035092	Potri.013G141912.1
WUAT02008941.1	2.85802252420254	2.60094285402286	Potri.013G162800.1
WUAT02009174.1	4.80440587888443	3.34867017912796	Potri.013G133550.2
WUAT02009364.1	2.07981072667481	2.40443731648865	Potri.010G044700.2
WUAT02009502.1	3.84008718862153	2.37678220004869	Potri.004G233400.2
WUAT02009845.1	0.771551609196317	2.41311742048012	Potri.001G277800.2
WUAT02010019.1	4.72514803913087	2.21871274194785	Potri.007G061861.1
WUAT02010134.1	0.548046225212243	2.15695956414328	Potri.013G143400.2
WUAT02011081.1	8.11610791577496	3.45674527021364	Potri.009G083100.1
WUAT02011711.1	9.23785556742843	4.76160568307034	Potri.001G106951.1
WUAT02012015.1	4.12024060651486	2.5777798308225	Potri.013G137900.3
WUAT02012251.1	6.66462739016301	2.27975303382805	Potri.007G062302.2
WUAT02013705.1	11.0592753526317	4.30264099644352	Potri.010G042100.1
WUAT02014467.1	4.30838364711109	2.4871633548673	Potri.013G140850.2
WUAT02014820.1	4.86687351948042	2.41028078126133	Potri.018G077766.8
WUAT02015134.1	5.64185669764488	2.92019322373106	Potri.016G011500.1
WUAT02015780.1	5.51770254929493	2.02098950369212	Potri.006G188700.1
WUAT02015916.1	7.3278085530931	2.75114192929828	Potri.011G158400.1
WUAT02016310.1	10.5966377462871	2.83487829153192	Potri.015G128100.1
WUAT02016970.1	9.37643084344796	2.13655136830782	Potri.005G047600.1
WUAT02017464.1	1.23982437947234	2.36558181401187	Potri.006G114700.1
WUAT02017681.1	8.29339686363257	3.14403769216402	Potri.013G133550.2
WUAT02018250.1	11.5444008282677	4.35137589482574	Potri.014G151101.2
WUAT02019020.1	1.09363244014987	2.80119905558909	Potri.013G140850.2
WUAT02019718.1	4.89027075813257	2.05221408036509	Potri.004G021500.7
WUAT02020034.1	2.48132708056793	3.2918976329688	Potri.013G138000.1
WUAT02020540.1	3.15775958584664	2.46148153016947	Potri.011G075051.1
WUAT02022355.1	2.867183672495	2.36238832516068	Potri.013G141912.1
WUAT02022517.1	1.74712657097553	3.04202921233578	Potri.010G092800.1
WUAT02022777.1	9.7146807731591	2.58397521474861	Potri.015G128100.1
