subject_id	Gene_ID	exprLevel_log	LogFC	Protein_ID	transcript_ID
Potri.005G017600.1	WUAT02016563.1	4.507848103	-6.902924327	268780	268780
Potri.004G233400.2	WUAT02009502.1	5.051731727	-2.669673374	297441	297441
Potri.003G073400.2	WUAT02014080.1	11.08691614	-3.046366031	553835	553835
Potri.006G102000.3	WUAT02013212.1	9.748159942	-2.967815192	560928	560928
Potri.012G058400.2	WUAT02008057.1	6.692452769	-5.776755304	569842	569842
Potri.012G071400.1	WUAT02001504.1	8.573317031	-2.108201121	570000	570000
Potri.016G037400.1	WUAT02020775.1	3.657926177	-2.581214798	576176	576176
Potri.010G097800.1	WUAT02013075.1	9.777148609	-3.007941833	658639	658639
Potri.017G040800.1	WUAT02003352.1	10.48150107	-2.074551476	679498	679498
Potri.008G195100.1	WUAT02014141.1	5.221809204	-2.015881282	720391	720391
Potri.011G153700.2	WUAT02020260.1	8.067052693	-2.002084759	727336	727336
Potri.010G142800.1	WUAT02007590.1	11.08521374	-5.853308503	769807	769807
Potri.012G039300.1	WUAT02008419.1	3.235626422	-2.862313454	806207	806207
Potri.001G108400.3	WUAT02019846.1	7.007042625	-2.057336536	815104	815104
Potri.010G245100.5	WUAT02005335.1	8.312942118	-2.423989741	822682	822682
Potri.007G015400.2	WUAT02020546.1	4.407749425	-2.129054527	828859	828859
Potri.003G180700.1	WUAT02022889.1	6.612523304	-2.372853478	830958	830958
Potri.017G086200.1	WUAT02018372.1	8.544455863	-2.0119497	835707	835707
